"ts_code","symbol","name","area","industry","market","list_date"
"600793.SH","600793","宜宾纸业","四川","造纸","主板","19970220"
"600794.SH","600794","保税科技","江苏","仓储物流","主板","19970306"
"600795.SH","600795","国电电力","辽宁","火力发电","主板","19970318"
"600796.SH","600796","钱江生化","浙江","农药化肥","主板","19970408"
"600797.SH","600797","浙大网新","浙江","软件服务","主板","19970418"
"600798.SH","600798","宁波海运","浙江","水运","主板","19970423"
"600800.SH","600800","渤海化学","天津","化工原料","主板","19931206"
"600801.SH","600801","华新水泥","湖北","水泥","主板","19940103"
"600802.SH","600802","福建水泥","福建","水泥","主板","19940103"
"600803.SH","600803","新奥股份","河北","供气供热","主板","19940103"
"600804.SH","600804","鹏博士","四川","电信运营","主板","19940103"
"600805.SH","600805","悦达投资","江苏","综合类","主板","19940103"
"600807.SH","600807","济南高新","山东","区域地产","主板","19940103"
"600808.SH","600808","马钢股份","安徽","普钢","主板","19940106"
"600809.SH","600809","山西汾酒","山西","白酒","主板","19940106"
"600810.SH","600810","神马股份","河南","化纤","主板","19940106"
"600811.SH","600811","东方集团","黑龙江","农业综合","主板","19940106"
"600812.SH","600812","华北制药","河北","化学制药","主板","19940114"
"600814.SH","600814","杭州解百","浙江","百货","主板","19940114"
"600815.SH","600815","厦工股份","福建","工程机械","主板","19940128"
"600816.SH","600816","ST安信","上海","多元金融","主板","19940128"
"600817.SH","600817","宏盛科技","河南","多元金融","主板","19940128"
"600818.SH","600818","中路股份","上海","文教休闲","主板","19940128"
"600819.SH","600819","耀皮玻璃","上海","玻璃","主板","19940128"
"600820.SH","600820","隧道股份","上海","建筑工程","主板","19940128"
"600821.SH","600821","金开新能","天津","新型电力","主板","19940128"
"600822.SH","600822","上海物贸","上海","商贸代理","主板","19940204"
"600823.SH","600823","世茂股份","上海","全国地产","主板","19940204"
"600824.SH","600824","益民集团","上海","百货","主板","19940204"
"600825.SH","600825","新华传媒","上海","出版业","主板","19940204"
"600826.SH","600826","兰生股份","上海","商贸代理","主板","19940204"
"600827.SH","600827","百联股份","上海","超市连锁","主板","19940204"
"600828.SH","600828","茂业商业","四川","百货","主板","19940224"
"600829.SH","600829","人民同泰","黑龙江","医药商业","主板","19940224"
"600830.SH","600830","香溢融通","浙江","多元金融","主板","19940224"
"600831.SH","600831","广电网络","陕西","影视音像","主板","19940224"
"600833.SH","600833","第一医药","上海","医药商业","主板","19940224"
"600834.SH","600834","申通地铁","上海","公共交通","主板","19940224"
"600835.SH","600835","上海机电","上海","运输设备","主板","19940224"
"600836.SH","600836","上海易连","上海","广告包装","主板","19940224"
"600837.SH","600837","海通证券","上海","证券","主板","19940224"
